gdc-xena	gdc-recount	gdc-mskcc	gdc-piccolo	xena-recount	xena-piccolo	xena-mskcc	recount-piccolo	recount-mskcc	mskcc-piccolo
PPTC7	4	0	51	1	3	3	15	2	26	0
ALDH2	0	0	0	306	3	17	7	0	0	0
MAPKAPK5	30	0	5	99	31	0	0	116	4	0
RPL6	13	1	15	0	4782	4596	0	0	4788	4627
PLBD2	10	1	1850	39	10	4	10	32	1598	1
MAP1LC3B2	0	2935	1	3473	2902	3456	0	0	2964	3509
RPLP0	2	0	1	0	256	5	11	0	339	7
GATC	0	1981	1	0	4609	1	1	1030	4554	11
TMEM120B	0	432	0	0	612	0	0	611	565	0
RHOF	681	1007	691	0	4	627	0	981	0	620
PSMD9	4752	0	4771	4488	110	1	1	0	184	0
WDR66	10	0	18	0	19	0	0	0	84	0
B3GNT4	0	2248	0	0	2197	0	0	2051	2209	0
DIABLO	4786	3445	4787	4695	0	0	1	0	0	0
VPS33A	0	4789	0	0	4667	0	0	1708	4683	0
HCAR3	1	433	0	1	5	1	1	0	5	0
OGFOD2	117	109	156	446	0	0	0	0	0	0
ARL6IP4	4786	4788	4793	4791	8	11	11	0	0	0
RILPL2	3	0	0	0	1	3153	876	0	0	0
UBC	4	61	4	0	13	8	8	0	0	0
RAN	2	0	0	0	494	0	0	0	1	0
IL17D	55	121	87	0	0	20	0	72	0	39
ZDHHC20	8	0	1125	0	6	7	56	1	925	192
C1QTNF9B	0	166	0	0	167	0	0	167	167	0
SPATA13	833	22	0	0	383	701	471	2	2	0
PABPC3	0	4691	0	4793	4694	4793	0	92	4694	4793
RPL21	192	4784	2319	4800	4800	4800	2	3386	4800	4800
POLR1D	2	0	0	0	1644	1	0	0	2434	0
ATP5EP2	36	4730	38	4799	4797	4800	0	1050	4797	4800
HMGB1	599	1	260	0	648	910	0	1	364	505
SOHLH2	0	0	0	22	0	32	0	58	0	31
TPT1	3220	0	31	4176	4467	0	0	4794	784	0
ITM2B	1922	0	40	0	2494	2	1	14	110	0
CYSLTR2	0	0	90	1	0	0	0	1	75	0
DLEU1	35	0	36	512	25	11	18	513	17	1
UTP14C	2	1	0	0	59	1	0	1	60	0
HNRNPA1L2	0	4688	0	414	4698	868	0	2221	4689	243
SUGT1	595	0	577	1064	999	1	1	1638	1031	0
PCDH20	0	75	10	40	75	40	10	0	0	0
UCHL3	10	3	3	1984	1	2	1	0	0	0
CLN5	1	0	1	0	12	0	0	1884	0	0
HS6ST3	0	0	107	0	0	0	4	0	100	34
FARP1	1165	17	1743	2037	29	14	12	0	22	0
STK24	201	203	312	77	2	0	0	0	1	0
FGF14	0	90	0	0	87	5	0	85	68	0
BIVM-ERCC5	0	3640	2	0	3634	0	0	3640	3640	2
ERCC5	14	3	3	203	0	3227	0	2966	0	3315
ADPRHL1	0	134	0	0	6	1	0	8	6	1
RNASE4	2217	3286	2420	3004	30	1	0	1	9	2
MRPL52	227	0	307	0	482	1	5	0	615	1
BCL2L2-PABPN1	17	4799	20	0	4796	19	3	4799	4797	23
PABPN1	1	1	1	4686	1	4771	0	4792	1	4770
THTPA	1	1284	1	2	471	1	0	314	715	0
AP1G2	62	0	34	0	5	1	0	1	0	1
RNF31	116	26	209	9	2	2	2	0	0	0
IRF9	4562	4476	4590	4695	1	1	1	1	0	0
IPO4	2155	4045	2159	3810	10	9	3	0	0	0
TM9SF1	2910	4789	4391	4769	91	16	0	0	0	0
CHMP4A	4669	4667	4709	4707	2	4	4	0	0	0
MDP1	976	2963	929	0	13	10	3	355	0	9
NEDD8-MDP1	0	4800	0	0	4800	0	0	4800	4800	0
NEDD8	1510	0	1254	0	7	0	0	0	2	0
CIDEB	674	3818	671	4054	1926	2271	0	1	2054	2370
KHNYN	0	9	0	0	169	0	1	15	147	0
SDR39U1	3506	4690	3912	0	15	61	5	1781	0	97
FAM177A1	17	0	23	0	61	5	0	0	82	5
KIAA0391	1113	794	1297	1854	0	0	0	0	0	0
PSMA6	4799	189	4800	4800	1132	2	0	4770	931	0
RALGAPA1	28	0	0	0	29	97	19	0	1	164
PRPF39	3	8	0	0	213	3	4	7	191	0
RPS29	4800	1	4800	4283	4800	4721	0	4758	4800	4723
MGAT2	4	4702	260	3891	2294	854	33	0	531	191
CDKL1	10	0	9	52	8	3	1	0	2	0
PSMC6	11	0	1	0	88	62	0	0	107	86
HIF1A	4	0	0	37	4	9	11	31	0	1
CHURC1	124	0	143	0	0	108	0	0	0	118
CHURC1-FNTB	8	4660	10	0	4634	8	0	4660	4630	10
FNTB	0	0	0	47	0	93	0	1927	0	108
ARG2	0	2749	0	50	3110	52	0	116	3060	52
VTI1B	1	34	1	0	17	1	0	49	17	1
COX16	2	5	2	0	1	71	0	456	0	83
ACOT1	0	594	0	0	1038	0	0	792	928	0
ZNF410	3607	2959	3555	4430	0	0	0	0	0	0
FAM161B	0	319	0	0	942	0	0	433	968	0
COQ6	21	378	195	691	6	0	0	0	7	0
GSTZ1	50	0	9	0	182	0	0	3	67	0
TMED8	5	0	0	122	4	6	8	87	0	0
SLIRP	2395	0	2264	6	798	0	0	22	734	0
GTF2A1	7	0	0	196	6	11	10	142	0	0
ZC3H14	694	0	468	7	68	0	0	0	47	0
EFCAB11	20	0	26	160	23	2	0	181	31	2
PSMC1	4791	0	4796	0	4785	4789	0	0	4793	4791
TTC7B	1153	0	0	43	1160	1	3	376	0	0
ATXN3	181	0	172	0	179	21	10	0	169	3
NDUFB1	4199	0	4181	0	4582	819	0	0	4597	778
IFI27	2311	1	2164	3133	2889	15	8	4347	2708	2
SERPINA3	2144	2488	2331	2642	22	13	10	9	11	2
CCNK	2171	2119	2574	4407	9	8	5	0	0	0
PPP2R5C	37	0	7	0	106	15	2	0	38	2
MOK	128	0	117	0	147	4	1	0	133	0
AMN	3	1091	1	0	1118	7	1	944	1109	3
KLC1	4290	6	4335	4344	221	11	9	14	205	0
ZFYVE21	4	0	0	0	4	0	0	45	0	0
ASPG	134	0	127	0	147	3	0	0	142	3
SIVA1	11	0	0	60	13	22	17	620	1	0
PLD4	0	396	0	0	361	2	0	335	366	1
CRIP1	4425	3743	129	4519	10	17	4426	4	3745	4520
SNRPN	0	1	2868	3573	0	3990	3936	4116	4094	962
SNURF	458	4382	0	0	4367	474	474	4382	4382	0
GOLGA8A	23	46	1	0	34	23	17	1	17	1
ZNF770	15	95	0	4	1379	179	11	0	1573	155
PAK6	1	255	80	286	117	129	37	0	0	0
DISP2	0	0	0	131	0	128	0	131	0	126
GCHFR	88	193	120	2183	10	16	9	0	0	0
DNAJC17	714	90	0	0	36	1	0	1	7	1
JMJD7	308	1777	356	356	6	0	0	0	0	0
JMJD7-PLA2G4B	0	458	0	1	390	2	0	539	532	1
PLA2G4B	42	429	62	0	61	43	0	429	3	63
CAPN3	149	156	152	147	2	3	1	1	1	2
CKMT1B	807	1342	897	10	5	3	0	1	4	2
CKMT1A	903	1830	899	222	10	1	0	1	7	1
ELL3	249	573	227	399	4	2	0	0	2	1
SERF2	4770	0	4793	0	4739	4775	1	0	4764	4797
SERINC4	0	1359	0	6	1359	6	0	1255	1359	6
B2M	18	1	31	0	4741	0	0	3231	4782	0
TRIM69	1	0	0	881	2	1344	1	789	0	1623
DUOXA2	1	123	0	0	256	1	1	36	264	0
DTWD1	70	0	679	0	100	5	0	0	759	0
CCPG1	743	847	821	0	1	2937	0	3198	0	2961
GCOM1	2	141	0	0	113	9	0	141	126	5
MYZAP	0	52	0	0	3	0	0	41	15	0
POLR2M	7	2	0	158	2	81	2	983	0	205
ALDH1A2	8	24	6	0	41	28	2	23	40	26
ANXA2	9	0	13	0	4425	16	1	1	4493	28
TPM1	85	1	55	0	94	5	1	1	68	1
RPS27L	4760	0	4645	403	4766	1	0	1270	4665	0
SNX22	0	4448	0	0	4517	0	0	4461	4495	0
RAB11A	0	0	0	0	0	42	0	0	0	90
RPL4	3	0	2	0	2785	1	0	1	3384	0
C15orf61	0	0	0	15	0	50	0	15	0	14
CALML4	732	70	891	4	1	3	2	1	0	1
FEM1B	11	0	1	194	10	15	14	141	0	0
HEXA	3138	0	2198	4716	5	0	0	2	2	0
ARIH1	731	0	1	0	798	6	20	0	1	0
CLK3	3980	0	3993	533	3836	0	0	301	3857	0
LMAN1L	75	169	85	226	1	1	1	0	0	0
CPLX3	41	170	41	131	140	10	1	0	135	1
COMMD4	139	0	14	4725	549	7	5	4777	95	0
FBXO22	18	0	57	0	30	7	0	0	93	1
IDH3A	225	20	490	955	2	0	0	0	0	0
ACSBG1	0	292	0	0	289	0	0	283	287	0
WDR61	3	0	1	129	2	0	0	874	1	0
PSMA4	29	0	2	5	92	0	0	140	2	0
MORF4L1	9	0	5	0	281	3	0	0	146	1
TMED3	4665	0	4689	4711	4668	12	5	4711	4691	0
MTHFS	319	2067	1102	0	4117	17	3867	4118	0	3869
ST20-MTHFS	0	4678	0	0	4678	0	0	4678	4678	0
STARD5	54	8	82	709	1	0	1	0	0	0
RPS17	35	0	116	4800	3806	4800	3254	4800	51	4797
HOMER2	3	0	0	95	8	0	1	249	0	0
FAM103A1	0	0	0	514	1	170	0	1423	0	277
C15orf40	803	0	442	0	702	7	0	0	331	2
WDR73	203	186	417	2321	1	1	1	1	0	1
MRPL46	951	0	912	4279	0	4	1	2279	0	0
ISG20	467	0	568	3076	790	8	3	3182	972	1
AP3S2	91	6	61	70	3	1519	3	2356	1	1545
C15orf38-AP3S2	439	4754	417	0	2827	439	0	4754	2783	417
NGRN	375	1005	4367	4783	3	2	0	0	0	0
LYSMD4	0	32	0	0	38	0	0	27	53	0
SNRPA1	0	1	0	10	44	1687	0	0	42	1662
TM2D3	42	0	30	4602	206	0	0	4639	219	0
HBA2	60	279	107	6	18	15	8	7	11	5
HBA1	1452	2172	1347	698	21	13	10	1447	28	11
STUB1	26	403	26	0	17	47	12	1386	0	47
JMJD8	2	85	0	0	334	1	1	475	663	0
TPSD1	7	1	4	0	319	88	0	0	308	66
CCDC154	81	0	80	0	71	172	0	0	71	172
EME2	1	1005	1	5	1910	0	0	2166	1867	1
SPSB3	3385	4195	3336	4648	10	14	6	0	0	1
RPS2	1	1	0	0	329	8	6	0	220	6
NOXO1	144	281	167	270	9	9	3	0	4	4
CASKIN1	0	436	0	0	464	0	0	459	464	0
CCNF	0	0	0	149	0	302	0	157	0	302
ATP6V0C	171	1412	149	323	18	15	15	0	2	2
CEMP1	20	1617	23	102	1478	2	0	3	1174	0
SRRM2	47	0	20	0	57	108	13	0	32	92
PKMYT1	8	262	10	0	91	6	2	180	6	8
NAA60	148	5	140	74	4	2	0	0	0	0
DNASE1	55	309	38	0	220	5	1	349	141	0
PAM16	989	15	908	6	0	1216	1	77	0	1138
CORO7-PAM16	0	3582	0	0	3582	0	0	3582	3582	0
CORO7	186	40	191	0	2	70	2	14	0	71
ALG1	0	0	0	0	0	2	0	94	0	2
PMM2	710	181	773	4118	1	0	0	0	0	0
C16orf72	20	1	0	0	12	8	25	0	33	0
ATF7IP2	37	0	24	0	52	137	11	0	35	117
DEXI	57	3385	47	238	17	7	0	0	0	0
SOCS1	5	0	3	115	2	337	1	120	1	338
NDE1	6	600	3	0	462	7	1	595	443	3
NOMO3	1174	4255	4207	613	617	8	1165	2	9	1025
NOMO2	4787	4760	4032	4441	0	242	702	1	21	2
RPS15A	4798	0	4800	4800	4800	0	0	4798	4800	0
ITPRIPL2	6	0	0	0	404	6	10	0	1106	5
IQCK	5	161	1	25	61	6	0	0	39	0
EIF3CL	4668	4800	4694	0	3869	4668	3	4800	2916	4694
NUPR1	10	1	2	677	11	23	14	3450	1	3
SULT1A1	574	0	504	1	29	0	0	0	24	0
EIF3C	4800	4791	4800	1	351	4800	1	4791	493	4800
SPNS1	3394	4536	3292	4659	10	12	4	0	0	0
LAT	239	132	236	335	0	2	0	1	0	2
BOLA2	698	4546	754	0	1921	698	10	4546	1351	754
SLX1B	640	2466	968	0	957	640	1	2466	761	968
SULT1A4	358	1521	491	0	483	358	8	1521	282	491
MAZ	315	629	256	160	2	0	1	0	0	0
SLX1A	2412	2518	2000	0	53	2412	35	2518	140	2000
SULT1A3	670	1029	505	0	13	670	6	1029	27	505
SEPT1	1	1	32	0	0	2	19	1	18	171
ZNF747	0	4	0	0	185	0	0	1	80	0
SRCAP	973	6	1	9	563	118	24	0	0	1
ZNF629	5	0	1685	0	3	0	0	1	1286	34
ZNF668	0	4	0	0	0	0	1	0	95	2
SLC5A2	0	4512	1	0	4511	1	0	4504	4512	0
MT1A	4	558	1	0	705	2	1	683	703	1
MT1B	0	144	0	0	145	0	0	142	145	0
MT1G	14	52	2	189	57	173	13	29	45	160
ARL2BP	779	4742	863	4443	0	0	0	0	0	0
PLLP	0	1649	0	0	834	1	0	460	903	1
SETD6	2	896	0	0	849	3	1	943	257	0
CKLF-CMTM1	0	3379	0	0	3379	0	0	3379	3379	0
B3GNT9	3	1	0	0	124	0	0	6	114	0
PSMB10	27	6	17	31	17	21	16	1	0	2
NFATC3	6	227	0	14	338	34	9	0	263	25
SLC7A6	11	91	0	0	33	2	6	0	12	0
SLC7A6OS	9	2111	0	0	409	5	4	1082	617	0
HAS3	1	55	0	0	280	0	0	106	268	0
VPS4A	0	1242	0	0	3238	188	0	0	0	0
COG8	0	44	0	0	4	2	0	45	302	0
PDF	1	4219	1	0	4119	0	0	4371	4019	0
NFAT5	23	1	0	0	90	25	25	0	99	6
CLEC18A	314	268	332	163	2	2	1	0	1	1
CLEC18C	257	290	263	129	8	2	1	0	5	1
DDX19A	0	590	0	0	57	0	0	1	52	0
SF3B3	9	0	0	0	16	190	0	0	2	37
HP	93	0	169	1	3	4	4	0	0	0
HPR	0	304	0	26	335	30	0	278	335	30
CLEC18B	2	126	1	39	9	2	1	0	7	2
ADAT1	7	0	1	0	7	55	2	1	0	43
SYCE1L	0	22	0	0	50	0	0	29	52	0
CMC2	4682	0	4464	4708	4681	0	0	4706	4462	0
GCSH	314	5	524	7	9	2944	1	860	0	3137
HSD17B2	0	0	0	498	0	0	0	525	0	0
HSBP1	66	0	5	0	142	1	1	1	9	0
MLYCD	0	0	2	466	0	634	0	424	0	0
WFDC1	1	0	0	50	1	0	0	306	0	0
GINS2	2	0	0	0	2	267	0	0	0	108
COX4I1	8	0	12	1	47	7	10	11	52	0
FOXC2	1	0	176	0	1	0	0	0	144	0
CA5A	2	0	1	38	17	0	0	66	7	0
PIEZO1	22	0	2	0	21	58	5	0	3	23
TRAPPC2L	44	0	0	839	140	14	7	1841	0	0
ANKRD11	11	0	0	0	11	67	3	0	0	64
RPL13	4767	0	4793	6	4774	4789	8	0	4798	4800
FANCA	55	3	20	0	0	56	0	3	0	21
TUBB3	44	2138	2104	2524	2138	2524	2104	0	0	1
DOC2B	2	1	322	3	0	1	0	3	271	1
DPH1	1	195	0	0	29	0	0	23	42	0
OVCA2	3319	4799	4356	0	2074	3214	8	4799	233	4328
HIC1	0	188	0	0	225	0	0	157	203	0
SMG6	45	3	189	4	1	2	3	0	0	0
SRR	3	1742	0	0	2183	3	3	2659	2164	0
TAX1BP3	3	923	2	3310	12	4670	0	4780	1	4676
P2RX5-TAX1BP3	0	4610	0	0	4610	0	0	4610	4610	0
ITGAE	324	0	304	0	505	172	0	0	491	149
GLTPD2	59	1	59	0	30	3	0	0	27	3
CHRNE	0	79	0	0	93	0	0	84	94	0
ENO3	0	4453	0	0	4214	0	0	4278	4203	0
INCA1	218	0	222	0	20	44	0	0	21	47
DERL2	9	0	9	0	18	0	0	0	45	0
NLRP1	7	0	0	4	7	65	3	4	0	62
TXNDC17	3989	0	4174	0	2467	1590	1	0	2638	1848
XAF1	124	512	190	977	18	20	14	1	1	2
RNASEK	4797	4799	4799	9	4	4800	4	4800	0	4800
C17orf49	4761	4700	4759	0	1	4761	4	4700	0	4759
GABARAP	4783	2909	4799	4799	7	0	2	0	0	0
GPS2	4592	4797	4588	4788	31	4	0	0	26	2
FGF11	471	577	465	779	0	1	0	0	0	0
TNFSF13	3	802	3	0	8	112	2	4085	4	50
SENP3	4	2	1	7	0	2756	0	2730	0	1779
EIF4A1	4800	4800	4800	26	0	4800	0	4800	0	4800
CD68	4250	4683	4307	4583	21	11	7	0	2	0
NAA38	3	0	130	4256	4	4679	558	4243	113	4251
CYB5D1	127	1725	162	864	0	0	0	0	0	0
VAMP2	20	1	1	0	41	21	22	1	40	1
SLC25A35	2	114	2	2	338	3	0	1125	346	2
RANGRF	0	3	0	4	10	77	4	2369	1	69
RPL26	4785	0	4796	18	4735	1	0	0	4753	0
HS3ST3B1	0	74	0	34	59	3	0	61	60	0
CDRT4	17	385	7	0	124	18	5	386	129	7
ZNF286A	1	0	9	0	22	7	76	0	0	2
MPRIP	63	0	93	0	250	1954	2	0	422	2702
SMCR8	9	2	387	0	63	0	1	6	519	1
SLC5A10	2	16	2	371	14	371	0	17	14	370
GRAP	1	216	0	178	9	10	0	1	11	12
LGALS9B	0	7	0	49	1	30	0	7	1	29
TMEM97	0	2	0	0	91	0	0	16	77	0
SARM1	5	639	4	0	64	7	0	673	65	5
SLC46A1	12	992	7	0	1	28	1	1428	0	15
RPL23A	2	149	87	24	4771	4580	2	0	4797	4796
DHRS13	0	209	1	200	41	36	2	0	4	4
TIAF1	0	1076	22	0	1080	0	24	1080	4	24
SSH2	43	0	29	0	48	112	15	0	33	103
OMG	18	0	0	23	18	80	18	22	0	62
ZNF207	33	0	7	21	22	0	3	11	0	0
RFFL	6	0	0	62	1	308	4	1822	0	280
CCL14	1408	678	1311	4	6	1408	6	681	1	1311
CCL15	3	2282	3	148	2106	247	0	2502	2070	264
CCL4L2	3	0	37	496	3	510	31	535	50	127
TBC1D3F	0	1	53	0	1	1	53	1	8	53
ZNHIT3	5	0	3	3571	2	0	0	214	0	0
TBC1D3	1	50	28	0	49	1	27	50	1	28
CISD3	8	16	0	0	34	2	7	191	13	0
RPL23	4618	0	4682	4554	4775	0	0	4798	4791	0
IKZF3	1	0	147	55	1	3	3	44	130	0
NR1D1	7	0	2	0	125	3	2	3	121	1
GJD3	0	106	0	61	108	62	0	1	108	62
SMARCE1	3124	0	3365	2102	129	0	0	0	117	0
KRT222	0	4775	0	0	4774	0	0	4752	4766	1
TMEM99	0	54	0	0	46	0	0	72	45	0
KRT19	17	147	1	92	174	115	10	38	160	100
KRT14	6	73	0	12	119	24	5	10	120	19
HSD17B1	18	47	18	804	15	319	0	0	15	317
PSMC3IP	0	757	0	0	618	0	0	1292	577	0
CNTD1	0	3339	0	0	3335	0	0	3376	3336	0
AARSD1	3898	2278	3911	208	0	0	1	0	0	0
LSM12	45	30	19	0	4	1315	3	1549	0	1416
CCDC103	1	109	6	210	18	94	0	0	0	0
HEXIM1	4	0	568	0	5	2	5	0	935	1
LRRC37A2	35	1	17	0	15	58	14	17	0	39
GOSR2	60	1	69	1	2	2	0	0	0	1
SAMD14	0	548	0	0	523	0	0	400	499	0
EME1	0	386	0	0	627	0	0	516	633	0
LUC7L3	17	0	3	39	17	20	10	44	3	20
NME1-NME2	4800	4800	4800	3	14	4800	4	4800	0	4800
NME2	1787	4316	4091	29	4792	1569	1307	4420	4799	3795
DYNLL2	11	1	6	0	8	3783	4	1	3	3823
NACA2	0	4779	0	4795	4784	4797	0	8	4784	4797
STRADA	790	22	727	938	20	14	13	0	0	0
ARSG	0	15	0	0	54	0	1	48	52	1
RPL38	4782	0	4746	4800	4781	0	0	4799	4763	0
H3F3B	10	0	8	0	112	1	0	0	117	1
MRPL38	4632	4590	4675	4784	1	5	2	0	0	0
FBF1	11	0	0	0	151	119	63	0	0	0
TEN1	2110	4379	2177	0	15	2110	2	4379	0	2177
CDK3	14	1599	18	0	800	25	0	1599	689	30
ZACN	444	4677	277	0	3799	444	127	4677	3840	277
EXOC7	4	12	74	7	0	0	7	0	0	0
MFSD11	3	610	0	0	166	2	1	392	169	0
HGS	71	0	68	1	5	0	0	0	8	0
MRPL12	15	193	4	27	27	23	15	0	1	0
NPB	12	52	12	32	37	2	0	22	37	2
ASPSCR1	58	0	54	0	87	2	0	4	65	1
CCDC57	1921	0	1921	0	2061	170	2	0	2072	135
TBCD	99	0	4	0	152	0	0	0	5	0
TYMS	1	1	1	1	0	10	0	54	0	3
NDUFV2	4797	4389	4797	212	0	1197	0	1	0	1101
VAPA	528	0	632	0	1397	2789	0	0	1613	3100
MPPE1	445	0	866	20	5	2	0	0	2	0
TUBB6	17	274	19	0	78	7	0	162	28	10
SNRPD1	5	0	0	0	138	1	1	0	44	0
PIK3C3	1230	0	1420	0	1437	3	0	0	1641	2
IER3IP1	3	12	1	0	4567	3864	3	0	0	0
SMAD2	3953	0	4013	0	4031	34	1	0	4089	16
C18orf32	3973	3197	4601	0	3	3978	5	3227	3	4601
RPL17	4800	4712	4800	56	1061	4800	0	4789	655	4800
TXNL1	5	0	4	4236	10	0	0	4413	10	0
NEDD4L	35	0	0	0	55	47	16	0	0	0
SEC11C	7	0	2	0	8	2	1	115	3	0
SERPINB10	0	302	0	0	308	0	0	302	308	0
CYB5A	4602	0	4276	4644	4605	0	0	4647	4341	0
NDUFS7	4436	0	1554	4773	2911	21	15	4770	347	2
RPS15	157	1	155	0	4193	8	7	6	3408	4
JSRP1	1	4744	0	0	4787	1	0	4738	4787	0
C19orf71	300	0	301	0	397	591	0	0	397	592
FEM1A	0	585	80	2630	585	2630	82	0	119	1061
NDUFA11	4778	11	4797	19	3612	2591	14	0	3664	2607
MLLT1	13	0	1453	0	11	7	31	0	1217	196
C3	47	1	29	0	91	48	8	1	48	28
ARHGEF18	27	3838	52	1463	8	2	1	0	0	0
STXBP2	22	0	9	83	2	4	0	0	0	0
TRAPPC5	4756	641	4777	4737	4493	12	13	4587	4653	4
LRRC8E	78	622	99	327	0	0	0	0	0	0
NDUFA7	4781	4799	4791	4798	21	10	5	0	2	1
RPS28	10	2765	2	1630	4777	3828	7	13	4794	3983
MUC16	9	0	8	0	16	159	1	0	10	169
ZNF121	19	1	1	214	19	28	20	176	0	106
ANGPTL6	0	232	0	0	250	0	0	241	251	0
PPAN-P2RY11	0	3787	0	0	3787	0	0	3787	3787	0
PPAN	542	2904	312	0	3	2426	0	3650	1	2206
P2RY11	0	199	0	132	1238	22	0	2558	1220	25
S1PR2	1	0	273	0	0	0	0	0	234	12
ICAM4	95	340	93	168	18	4	0	0	16	5
RAVER1	0	188	0	110	256	158	0	0	151	91
ICAM3	958	2024	1211	2412	7	7	3	0	0	0
TMED1	8	71	0	14	26	18	7	0	5	0
CARM1	1	9	0	0	270	10	0	0	11	0
RAB3D	2	2	0	0	1579	15	0	1	1678	4
CCDC159	9	631	0	0	32	1	1	30	26	0
ZNF564	4	116	4	45	6	3	0	0	0	0
WDR83	0	2635	0	0	3215	2	0	336	3019	1
GADD45GIP1	23	36	0	0	2728	57	22	18	33	1
TECR	7	0	0	0	984	2	3	2	817	0
AP1M1	5	0	2	48	7	2	0	1229	2	0
C19orf44	0	1050	0	0	2170	0	0	1651	2192	0
RPL18A	4672	103	4704	23	4784	4781	12	1	4799	4796
PIK3R2	3501	4661	79	4472	11	5	1926	0	4476	3603
IFI30	4742	4762	4714	4791	5	15	3	0	0	1
PDE4C	144	0	147	5	152	220	0	5	152	223
UBA52	128	0	62	0	450	2798	1	0	282	2400
MEF2B	2	89	3	0	31	7	0	90	19	10
NDUFA13	4767	3684	4790	4800	10	21	14	10	0	6
YJEFN3	2	2	2	202	1	238	3	190	0	232
ZNF90	5	2920	0	2	2806	18	5	3263	2861	2
UQCRFS1	4	1	1	0	4	67	6	1	0	1
POP4	3267	0	2810	0	3869	4	0	0	3596	0
CEBPA	11	0	2189	0	289	16	831	1	3217	2417
FXYD1	622	238	624	830	1	3	1	1	1	2
HAMP	0	0	0	195	0	1	0	226	0	0
DMKN	2074	0	2166	0	2340	9	0	0	2435	1
IGFLR1	510	734	618	987	3	7	3	1	1	2
LIN37	0	0	0	251	0	2	0	0	0	0
ALKBH6	295	0	357	931	0	0	0	0	0	0
COX7A1	16	1	10	0	16	42	5	1	10	37
ZNF585A	82	0	86	0	54	40	0	0	56	44
C19orf33	18	2	2	3560	19	3445	12	3747	1	3496
RYR1	0	0	0	0	1	87	0	0	2	93
CAPN12	53	2890	50	0	2197	3	4	2301	2230	10
LGALS7	85	552	142	546	410	394	4	0	402	388
SARS2	13	360	11	310	1	1	0	0	0	0
SAMD4B	15	0	0	0	15	57	13	0	0	40
FCGBP	6	0	10	0	13	2	5	0	124	0
AKT2	38	0	20	0	87	2	0	0	51	0
MIA	155	15	153	0	0	320	0	258	0	318
RAB4B	59	0	24	102	0	3384	2	1519	0	3238
EGLN2	4169	709	4223	228	1	4631	2	4101	0	4668
CYP2A7	2	94	2	1	110	1	0	95	113	1
TGFB1	16	16	9	0	411	13	7	26	561	7
BCKDHA	2681	4763	4344	4763	70	55	11	0	1	0
RPS19	2777	0	2715	0	3909	5	13	1	3913	1
PRR19	0	254	0	0	322	0	0	244	322	0
ZNF575	0	148	0	0	153	0	0	149	153	0
SRRM5	0	1203	0	0	1214	0	0	1212	1214	0
ZNF224	15	0	0	0	5	33	6	53	0	15
APOC4	151	158	150	0	1	151	0	158	1	150
APOC2	465	838	1195	164	30	466	76	838	0	1195
CD3EAP	0	769	0	0	939	0	0	2013	1107	1
SIX5	1	24	0	0	127	8	2	0	72	1
NAPA	7	0	3	208	0	2	0	0	0	0
RPL18	410	0	324	6	1739	11	11	1321	1498	0
CD37	17	42	2	0	47	11	12	23	36	1
FLT3LG	38	4	60	286	0	2	0	1	0	2
RPL13A	3	0	0	4264	88	4618	6	50	95	4662
IL4I1	7	80	1	0	126	2	2	99	116	0
FAM71E1	0	183	0	0	533	0	0	273	546	0
KLK14	60	0	61	0	2	1	0	0	1	0
ETFB	543	0	456	14	38	12	13	6	25	0
ZNF677	5	0	0	0	5	78	0	0	0	81
NDUFA3	802	0	1013	4620	989	13	8	4588	1244	0
LENG1	6	0	1	0	721	8	0	0	554	1
RPS9	1973	0	1	0	4511	8	12	6	165	0
LENG9	7	65	3	0	482	2	0	179	380	0
RPL28	4761	0	4784	0	4771	4777	12	0	4794	4795
UBE2S	1	0	0	0	162	23	9	0	324	20
EPN1	21	0	0	0	81	14	12	25	0	1
ZNF814	196	2	188	0	71	166	18	2	57	158
ZNF135	0	710	0	0	894	0	1	665	893	0
A1BG	1192	192	1190	240	599	0	6	0	571	0
SLC27A5	508	2	509	0	179	1	1	1	176	1
ZCCHC3	1	0	2931	0	0	0	6	0	2671	1402
SRXN1	2492	4717	2489	4390	6	0	0	1	1	0
SDCBP2	5	0	0	1541	5	1143	3	1539	0	1090
MAVS	8	0	1148	0	5	1	4	0	916	47
RNF24	2	0	0	23	2	1	4	56	0	0
PET117	0	96	0	0	178	0	0	4161	53	0
CST4	3	373	2	6	435	19	1	376	442	19
CST2	14	389	14	14	632	65	0	285	633	65
ZNF337	5	1602	1	772	1	2	4	0	1	2
HM13	32	0	18	0	49	0	0	0	36	0
MMP24	1	175	0	42	595	102	0	0	678	119
PHF20	9	0	0	0	12	38	190	0	0	0
C20orf24	3	311	3	197	5	4620	3	4789	0	4617
SLA2	1	891	1	0	1160	0	0	1019	1169	0
RBL1	5	0	168	0	4	4	7	0	141	32
KCNK15	2	7	3	0	79	0	0	18	72	0
SYS1-DBNDD2	0	4646	0	0	4646	0	0	4646	4646	0
DBNDD2	3752	3799	3730	0	0	3753	0	3799	0	3730
TNNC2	194	0	195	0	10	46	0	0	9	45
PLTP	12	94	1	0	280	7	3	162	281	1
SLC12A5	154	0	12	0	154	155	36	0	12	15
UBE2V1	4792	4775	4794	16	17	4794	10	4788	0	4794
TMEM189-UBE2V1	45	4798	33	0	4798	45	2	4798	4798	33
BCAS4	1	1774	1	1	1249	2	0	727	1050	0
FAM209A	0	4688	0	0	4688	0	0	4688	4688	0
